article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
75831;Flavius Aëtius;Male;396;Silistra;;Bulgaria;Europe;4.411.667;2.726.667;Military Personnel;Military;Institutions;43;1055477;24546;265.091
46601;Cambyses II of Persia;Male;-600;Other;;Unknown;;;;Politician;Government;Institutions;47;922492;19627;265.062
49644;Jean Sibelius;Male;1865;Hämeenlinna;;Finland;Europe;61;2.446.667;Composer;Music;Arts;66;3382227;51246;265.038
12307;Gustave Flaubert;Male;1821;Rouen;;France;Europe;49.44;1.1;Writer;Language;Humanities;68;6467167;95105;265.036
1029;Albert Schweitzer;Male;1875;Kaysersberg;;France;Europe;481.394;72.614;Physician;Medicine;Science & Technology;62;5818033;93839;264.989
1640;Alfred the Great;Male;849;Oxfordshire;;United Kingdom;Europe;51.589;-1.427;Politician;Government;Institutions;59;4131426;70024;264.981
45592;Bartolomeu Dias;Male;1451;Algarve;;Portugal;Europe;;;Explorer;Explorers;Exploration;57;3723102;65318;264.978
16774;Karl Dönitz;Male;1891;Berlin;;Germany;Europe;525.167;13.4;Politician;Government;Institutions;55;6584658;119721;264.972
98367;Antisthenes;Male;-445;Athens;;Greece;Europe;3.796.667;2.371.667;Philosopher;Philosophy;Humanities;44;844666;19197;264.953
82489;Epaminondas;Male;-410;Thebes;;Greece;Europe;3.831.667;2.331.667;Politician;Government;Institutions;34;967593;28459;26.495
25605367;Otto I, Holy Roman Emperor;Male;912;Wallhausen;;Germany;Europe;5.146.667;1.118.333;Politician;Government;Institutions;55;1086829;19761;264.945
140709;Giorgione;Male;1470;Castelfranco Veneto;;Italy;Europe;4.566.667;1.193.333;Painter;Fine Arts;Arts;46;1912608;41578;264.931
42650;Marcel Duchamp;Male;1887;Blainville-Crevon;;France;Europe;495.042;13.019;Artist;Fine Arts;Arts;50;8625581;172512;264.919
105931;Lady Godiva;Female;980;Coventry;;United Kingdom;Europe;52.6;-1.6;Social Activist;Activism;Public Figure;41;5298269;129226;264.919
209274;Gustave Courbet;Male;1819;Ornans;;France;Europe;47.106;61.438;Painter;Fine Arts;Arts;50;5855709;117114;26.49
26709;Sean Connery;Male;1930;Fountainbridge;;United Kingdom;Europe;5.594.361;-320.889;Actor;Film And Theatre;Arts;80;24725280;309066;264.882
344783;Pierre-Simon Laplace;Male;1749;Beaumont-en-Auge;;France;Europe;492.789;0.1106;Mathematician;Math;Science & Technology;68;3135829;46115;264.783
211518;Warren Buffett;Male;1930;Omaha;NE;United States;North America;41.25;-96;Businessperson;Business;Business & Law;65;28105827;432397;264.776
17461;Knut Hamsun;Male;1859;Lom;;Norway;Europe;6.181.083;863.917;Writer;Language;Humanities;73;2685510;36788;264.766
